:25859
2012-11-29T02:18:05.303Z:1
693511800415:1
686700747635:1
2013-12-03T13:40:12.429Z:1
693511741594:2
672701410794:1
672777087780:1
693511319515:2
2015-03-01T00:08:49.604Z:1
2011-08-20T09:06:42.215Z:1
686700747642:1
2012-12-29T11:33:45.243Z:1
455773502149:2
2012-02-10T21:51:59.306Z:1
2011-03-09T07:54:59.130Z:1
2014-02-24T23:36:29.429Z:1
2013-07-30T12:28:22.404Z:1
2012-08-02T16:08:18.228Z:1
2014-05-15T12:10:48.284Z:1
693511319501:3
2013-08-27T23:39:47.228Z:1
2011-06-08T12:36:15.215Z:1
693511319508:2
2013-05-06T18:59:58.130Z:1
2012-11-04T22:33:36.429Z:1
273637026180:2
2013-03-11T06:43:45.169Z:1
672701410787:1
2011-03-01T08:25:18.228Z:1
2012-09-30T13:06:36.969Z:1
574774934608:4
2013-07-25T16:38:08.169Z:1
2014-04-28T19:33:34.130Z:1
672777087794:1
693770772394:1
2012-06-07T06:56:03.357Z:1
2011-09-22T20:53:57.228Z:1
2014-04-01T10:40:29.303Z:1
2012-07-10T03:48:51.243Z:1
2013-09-07T21:56:18.429Z:1
2012-12-07T19:34:53.228Z:1
2013-06-06T08:10:53.794Z:1
455809904921:4
2013-02-13T00:25:25.169Z:1
693511511266:2
2014-07-15T19:31:18.604Z:1
574845009508:1
2015-02-14T21:54:02.404Z:1
455773502128:3
2013-05-19T03:36:06.679Z:1
2012-06-15T18:13:38.130Z:1
693511800422:2
693770772380:1
2012-12-07T19:38:15.228Z:1
693637142800:2
2015-01-23T14:40:48.284Z:1
2013-11-04T04:41:31.794Z:1
3204.0:6
2015-01-17T05:50:30.125Z:1
1047.0:11
672777817215:1
574845058501:5
672777073101:1
455778421028:3
2011-09-27T16:07:13.130Z:1
672777073108:1
273637026159:1
2012-04-03T03:51:25.794Z:1
2012-10-30T05:25:57.130Z:1
686772815008:4
693511790559:4
2011-12-07T07:47:35.130Z:1
455773502107:1
672777087759:2
672777073115:2
455789610521:2
2013-05-18T11:11:14.228Z:1
2011-11-18T16:56:04.566Z:1
2014-07-15T19:52:31.604Z:1
2013-09-07T21:40:04.429Z:1
273637026145:1
2010-12-21T15:24:01.215Z:1
2012-02-15T17:54:25.794Z:1
2014-01-08T17:16:56.604Z:1
2013-09-30T10:28:16.125Z:1
2014-01-01T17:18:26.169Z:1
2012-11-29T09:34:01.429Z:1
693511790552:2
2014-07-12T03:24:34.228Z:1
2011-07-17T07:58:50.794Z:1
2011-02-22T02:27:17.429Z:1
3684.0:1
455791718221:4
273857503822:1
2011-12-07T09:36:37.215Z:1
2010-12-01T03:09:01.215Z:1
490770756735:1
2010-02-24T05:20:15.357Z:1
2013-11-26T21:06:27.169Z:1
2012-05-04T14:54:27.969Z:1
2013-10-23T18:54:52.284Z:1
2011-01-09T14:15:08.169Z:1
2013-05-14T12:22:28.429Z:1
2011-09-23T05:33:42.969Z:1
"82063ce4-9b41-J4fS-8c9c-1da9abfd721f":2
2011-05-21T03:46:07.429Z:1
672777087766:4
1287.0:2
427006342000:2
455707076314:2
2014-11-24T19:16:00.306Z:1
2014-04-02T21:07:05.243Z:1
455707076321:2
2014-06-02T03:08:17.931Z:1
2015-03-04T03:08:47.306Z:1
2012-12-07T18:45:31.228Z:1
2012-06-21T11:41:32.306Z:1
2012-10-29T11:48:09.969Z:1
679773501400:2
2011-10-21T03:33:01.228Z:1
2010-12-01T16:12:07.357Z:1
693770723373:2
2012-11-29T01:57:08.303Z:1
2013-07-25T17:10:31.169Z:1
2012-08-02T15:46:36.228Z:1
2013-09-07T21:48:03.429Z:1
455778421042:2
2014-07-24T13:46:49.679Z:1
2015-03-04T02:16:48.306Z:1
693774906622:1
2012-08-05T17:46:48.404Z:1
455791718242:2
2014-05-21T15:06:52.404Z:1
2012-12-11T00:17:38.749Z:1
2013-10-02T10:34:52.243Z:1
2014-03-13T08:30:30.169Z:1
273707017780:2
